Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Andorra,42.5063,1.5218,2020-04-09,583,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-08,564,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-07,545,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-06,525,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-05,501,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-04,466,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-03,439,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-02,428,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-01,390,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-31,376,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-30,370,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-29,334,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-28,308,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-27,267,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-26,224,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-25,188,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-24,164,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-23,133,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-22,113,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-21,88,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-20,75,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-19,53,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-18,39,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-17,39,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-16,2,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-15,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-14,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-13,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-12,1,AND,150,39,
