price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
8060,ford, B-MAX,2016,Automatic,20089,Petrol,160,44.1,1.6
7990,vauxhall, Corsa,2017,Manual,28427,Petrol,145,55.4,1.4
25490,merc, A Class,2019,Automatic,6108,Diesel,145,56.5,2.0
21995,merc, GLC Class,2016,Semi-Auto,44759,Diesel,125,56.5,2.1
51990,bmw, X5,2019,Semi-Auto,12,Diesel,145,37.7,3.0
10290,ford, EcoSport,2017,Manual,21445,Petrol,125,52.3,1.0
39940,audi, A8,2019,Semi-Auto,3442,Diesel,145,40.4,3.0
26723,ford, Focus,2020,Manual,2102,Petrol,145,34.5,2.3
8991,vw, Polo,2016,Manual,33513,Petrol,20,60.1,1.0
23995,skoda, Superb,2019,Semi-Auto,7563,Diesel,145,48.7,2.0
23439,audi, Q2,2019,Manual,50,Petrol,145,43.5,1.5
5000,toyota, Aygo,2017,Manual,72966,Petrol,0,69.0,1.0
8655,toyota, Aygo,2018,Manual,4000,Petrol,145,56.5,1.0
9998,ford, Fiesta,2018,Manual,23112,Petrol,145,65.7,1.0
8495,skoda, Fabia,2017,Manual,36000,Petrol,145,64.2,1.0
45995,merc, GLE Class,2019,Automatic,6500,Diesel,145,36.7,2.0
12500,vw, Golf,2016,Manual,87490,Diesel,20,67.3,2.0
19998,toyota, Corolla,2019,Manual,4290,Petrol,150,39.2,1.2
14999,bmw, X3,2014,Automatic,47925,Diesel,160,50.4,2.0
10595,ford, Focus,2017,Manual,27500,Petrol,150,61.4,1.0
12497,vw, Golf,2017,Manual,25024,Petrol,30,53.3,1.4
10900,bmw, 1 Series,2016,Manual,29733,Petrol,125,53.3,1.5
14750,ford, Kuga,2018,Manual,22984,Diesel,145,64.2,1.5
5989,ford, Fiesta,2013,Manual,54581,Petrol,30,54.3,1.2
21000,vw, T-Roc,2019,Manual,50,Diesel,145,50.4,2.0
8700,ford, C-MAX,2014,Manual,37929,Diesel,125,55.4,2.0
11950,ford, Fiesta,2018,Manual,16678,Petrol,145,58.9,1.0
11495,vauxhall, Mokka X,2018,Manual,25265,Petrol,145,39.2,1.4
27890,merc, SL CLASS,2018,Automatic,1565,Petrol,145,47.1,2.0
23790,vw, Tiguan,2017,Semi-Auto,20159,Diesel,145,57.6,2.0
13750,bmw, 4 Series,2015,Manual,34457,Petrol,160,44.8,2.0
7950,vauxhall, Corsa,2017,Manual,14295,Petrol,145,55.4,1.4
11950,hyundi, Tucson,2016,Manual,49029,Diesel,30,61.7,1.7
35722,merc, GLC Class,2019,Automatic,8380,Diesel,145,44.8,2.0
10799,merc, C Class,2015,Manual,76157,Petrol,125,51.4,2.0
25824,vw, Golf,2019,Semi-Auto,7400,Petrol,145,37.7,2.0
4700,vauxhall, Corsa,2014,Manual,32560,Petrol,125,51.4,1.2
999,ford, Fiesta,2004,Manual,111000,Petrol,160,45.6,1.2
14499,merc, A Class,2016,Manual,22181,Diesel,20,68.9,1.5
19991,vw, T-Roc,2018,Manual,7236,Diesel,150,56.5,2.0
13291,vw, Polo,2018,Manual,20944,Petrol,145,62.8,1.0
15342,bmw, 2 Series,2016,Manual,37828,Petrol,205,42.8,2.0
24741,merc, GLC Class,2016,Semi-Auto,42300,Diesel,125,56.5,2.1
9799,vauxhall, Corsa,2019,Manual,8558,Petrol,145,43.5,1.4
9498,toyota, Yaris,2017,Manual,44795,Petrol,145,56.5,1.5
12995,ford, Kuga,2017,Manual,6000,Diesel,150,64.2,1.5
11154,vauxhall, Mokka X,2017,Manual,20290,Petrol,145,47.1,1.4
27990,audi, A4,2019,Automatic,2260,Petrol,145,38.7,2.0
